strategy,horizon_years,block_days,metric,statistic,value
LEAPS_80_25_TREASURY_ROLL_18M,30,63,terminal_wealth,p5,7.874496991
LEAPS_80_25_TREASURY_ROLL_18M,30,63,terminal_wealth,p10,10.41142626
LEAPS_80_25_TREASURY_ROLL_18M,30,63,terminal_wealth,p50,31.78963842
LEAPS_80_25_TREASURY_ROLL_18M,30,63,terminal_wealth,p90,96.50626264
LEAPS_80_25_TREASURY_ROLL_18M,30,63,terminal_wealth,p95,132.5060145
LEAPS_80_25_TREASURY_ROLL_18M,30,63,terminal_wealth,mean,46.07712309
LEAPS_85_30_TREASURY_ROLL_9M,30,63,cagr,p5,0.07166104578
LEAPS_85_30_TREASURY_ROLL_9M,30,63,cagr,p10,0.08364722622
LEAPS_85_30_TREASURY_ROLL_9M,30,63,cagr,p50,0.132043516
LEAPS_85_30_TREASURY_ROLL_9M,30,63,cagr,p90,0.1841413968
LEAPS_85_30_TREASURY_ROLL_9M,30,63,cagr,p95,0.1983522948
LEAPS_85_30_TREASURY_ROLL_9M,30,63,cagr,mean,0.1332354777
LEAPS_85_30_TREASURY_ROLL_9M,30,63,terminal_wealth,p5,7.975621387
LEAPS_85_30_TREASURY_ROLL_9M,30,63,terminal_wealth,p10,11.13487857
LEAPS_85_30_TREASURY_ROLL_9M,30,63,terminal_wealth,p50,41.30164905
LEAPS_85_30_TREASURY_ROLL_9M,30,63,terminal_wealth,p90,159.2969862
LEAPS_85_30_TREASURY_ROLL_9M,30,63,terminal_wealth,p95,227.8468879
LEAPS_85_30_TREASURY_ROLL_9M,30,63,terminal_wealth,mean,70.92927872
LEAPS_85_30_TREASURY,30,63,cagr,p5,0.07277480346
LEAPS_85_30_TREASURY,30,63,cagr,p10,0.08449524715
LEAPS_85_30_TREASURY,30,63,cagr,p50,0.1348371042
LEAPS_85_30_TREASURY,30,63,cagr,p90,0.1880096372
LEAPS_85_30_TREASURY,30,63,cagr,p95,0.2020895915
LEAPS_85_30_TREASURY,30,63,cagr,mean,0.1357621138
LEAPS_85_30_TREASURY,30,63,terminal_wealth,p5,8.228087244
LEAPS_85_30_TREASURY,30,63,terminal_wealth,p10,11.39929084
LEAPS_85_30_TREASURY,30,63,terminal_wealth,p50,44.47142581
LEAPS_85_30_TREASURY,30,63,terminal_wealth,p90,175.6715164
LEAPS_85_30_TREASURY,30,63,terminal_wealth,p95,250.158078
LEAPS_85_30_TREASURY,30,63,terminal_wealth,mean,77.82085856
LEAPS_85_30_TREASURY_ROLL_18M,30,63,cagr,p5,0.07236018712
LEAPS_85_30_TREASURY_ROLL_18M,30,63,cagr,p10,0.08560998882
LEAPS_85_30_TREASURY_ROLL_18M,30,63,cagr,p50,0.1368214109
LEAPS_85_30_TREASURY_ROLL_18M,30,63,cagr,p90,0.1923752657
LEAPS_85_30_TREASURY_ROLL_18M,30,63,cagr,p95,0.2073443158
LEAPS_85_30_TREASURY_ROLL_18M,30,63,cagr,mean,0.1383738901
LEAPS_85_30_TREASURY_ROLL_18M,30,63,terminal_wealth,p5,8.133210263
LEAPS_85_30_TREASURY_ROLL_18M,30,63,terminal_wealth,p10,11.75614164
LEAPS_85_30_TREASURY_ROLL_18M,30,63,terminal_wealth,p50,46.86445626
LEAPS_85_30_TREASURY_ROLL_18M,30,63,terminal_wealth,p90,196.1071361
LEAPS_85_30_TREASURY_ROLL_18M,30,63,terminal_wealth,p95,285.1322069
LEAPS_85_30_TREASURY_ROLL_18M,30,63,terminal_wealth,mean,86.44628842
LEAPS_95_50_TREASURY_ROLL_9M,30,63,cagr,p5,0.05420181339
LEAPS_95_50_TREASURY_ROLL_9M,30,63,cagr,p10,0.07672548694
LEAPS_95_50_TREASURY_ROLL_9M,30,63,cagr,p50,0.1659205945
LEAPS_95_50_TREASURY_ROLL_9M,30,63,cagr,p90,0.2679539244
LEAPS_95_50_TREASURY_ROLL_9M,30,63,cagr,p95,0.2987080482
LEAPS_95_50_TREASURY_ROLL_9M,30,63,cagr,mean,0.1703792509
LEAPS_95_50_TREASURY_ROLL_9M,30,63,terminal_wealth,p5,4.872413625
