series,fund,lag,cost_bps,horizon_years,cohorts,first_entry,last_entry,min_terminal_multiple,median_terminal_multiple,min_cagr,median_cagr,min_ratio_vs_no_reserve,median_ratio_vs_no_reserve,max_ratio_vs_no_reserve,fraction_outperforming_no_reserve,cohort_kind
HWM_DRAWDOWN,UPRO,LAG2,25,20,240,1986-09-30,2006-08-31,3.7040119,13.15261246,0.06765202187,0.1374978905,0.9229953872,1.021996036,1.117132253,0.6791666667,fresh_investor_reset
HWM_DRAWDOWN,UPRO,LAG2,25,30,120,1986-09-30,1996-08-30,40.774762,91.16558134,0.1315591614,0.1623051935,0.9466239009,0.9968713749,1.050580827,0.4333333333,fresh_investor_reset
HWM_RESERVE,SSO,LAG1,0,20,240,1986-09-30,2006-08-31,2.90407479,8.993463276,0.0547520784,0.1160823703,0.9661516012,0.9863579216,0.9973668498,0,fresh_investor_reset
HWM_RESERVE,SSO,LAG1,0,30,120,1986-09-30,1996-08-30,29.98372822,46.7616395,0.1200238605,0.1367448357,0.9617080889,0.9718275906,0.9862976121,0,fresh_investor_reset
HWM_RESERVE,SSO,LAG1,25,20,240,1986-09-30,2006-08-31,1.999180725,6.290472898,0.03524371555,0.09629818675,0.9736925537,0.9894780886,1.000187478,0.004166666667,fresh_investor_reset
HWM_RESERVE,SSO,LAG1,25,30,120,1986-09-30,1996-08-30,18.24842137,28.09855622,0.1016380431,0.1175849197,0.9715172214,0.9811696912,0.99467071,0,fresh_investor_reset
HWM_RESERVE,SSO,LAG2,0,20,240,1986-09-30,2006-08-31,4.153635964,10.8363466,0.0737951092,0.1265335662,0.968138764,0.9878520789,1.000599221,0.0125,fresh_investor_reset
HWM_RESERVE,SSO,LAG2,0,30,120,1986-09-30,1996-08-30,33.77584182,57.98142163,0.124478651,0.144930107,0.9649482374,0.9747262128,0.990528841,0,fresh_investor_reset
HWM_RESERVE,SSO,LAG2,25,20,240,1986-09-30,2006-08-31,2.847146976,7.51571099,0.05370852655,0.1061098805,0.967924517,0.988911658,1.002607061,0.0375,fresh_investor_reset
HWM_RESERVE,SSO,LAG2,25,30,120,1986-09-30,1996-08-30,20.39462614,34.49792796,0.1057285754,0.1252718138,0.9663015983,0.9765330411,0.991239402,0,fresh_investor_reset
HWM_RESERVE,UPRO,LAG1,0,20,240,1986-09-30,2006-08-31,2.974627641,12.95862829,0.05601875277,0.1366511628,0.9566247736,0.9881587562,1.008156815,0.05833333333,fresh_investor_reset
HWM_RESERVE,UPRO,LAG1,0,30,120,1986-09-30,1996-08-30,51.73083116,94.54505171,0.140571132,0.1637283372,0.9577147304,0.9752605261,0.9977093741,0,fresh_investor_reset
HWM_RESERVE,UPRO,LAG1,25,20,240,1986-09-30,2006-08-31,2.061289541,9.120033534,0.03682855622,0.116845875,0.9671933576,0.9935957727,1.013870527,0.1916666667,fresh_investor_reset
HWM_RESERVE,UPRO,LAG1,25,30,120,1986-09-30,1996-08-30,31.58433858,57.17816539,0.1219670746,0.1443696276,0.9706487598,0.988698086,1.009420651,0.09166666667,fresh_investor_reset
HWM_RESERVE,UPRO,LAG2,0,20,240,1986-09-30,2006-08-31,5.375446558,17.84384111,0.08772905007,0.1549615218,0.9493611422,0.9867130691,1.016438203,0.04583333333,fresh_investor_reset
HWM_RESERVE,UPRO,LAG2,0,30,120,1986-09-30,1996-08-30,64.51706809,150.4781996,0.148999223,0.18188019,0.950665097,0.9703333507,0.9964019219,0,fresh_investor_reset
HWM_RESERVE,UPRO,LAG2,25,20,240,1986-09-30,2006-08-31,3.705165805,12.57402368,0.06767821729,0.1349320846,0.9551028354,0.9894347728,1.01885099,0.05,fresh_investor_reset
HWM_RESERVE,UPRO,LAG2,25,30,120,1986-09-30,1996-08-30,39.19021501,90.05299825,0.1300651927,0.161827813,0.9578999865,0.9785140633,1.003383574,0.05833333333,fresh_investor_reset
NO_RESERVE,SSO,LAG1,0,20,240,1986-09-30,2006-08-31,2.926379788,9.141498648,0.05515566372,0.1169939336,1,1,1,0,fresh_investor_reset
NO_RESERVE,SSO,LAG1,0,30,120,1986-09-30,1996-08-30,30.78323265,48.0302168,0.1210067057,0.1377595208,1,1,1,0,fresh_investor_reset
NO_RESERVE,SSO,LAG1,25,20,240,1986-09-30,2006-08-31,2.005299505,6.383296647,0.03540191131,0.09710128118,1,1,1,0,fresh_investor_reset
NO_RESERVE,SSO,LAG1,25,30,120,1986-09-30,1996-08-30,18.5661094,28.52682016,0.1022719787,0.1181485115,1,1,1,0,fresh_investor_reset
NO_RESERVE,SSO,LAG2,0,20,240,1986-09-30,2006-08-31,4.179811725,10.97021535,0.07413244751,0.1272161392,1,1,1,0,fresh_investor_reset
NO_RESERVE,SSO,LAG2,0,30,120,1986-09-30,1996-08-30,34.57673707,59.43268159,0.1253573709,0.1458669051,1,1,1,0,fresh_investor_reset
NO_RESERVE,SSO,LAG2,25,20,240,1986-09-30,2006-08-31,2.864212779,7.626212325,0.05402342743,0.1069174449,1,1,1,0,fresh_investor_reset
NO_RESERVE,SSO,LAG2,25,30,120,1986-09-30,1996-08-30,20.85406332,35.27619491,0.1065499337,0.1261088248,1,1,1,0,fresh_investor_reset
NO_RESERVE,UPRO,LAG1,0,20,240,1986-09-30,2006-08-31,3.003519598,13.19756894,0.05652924637,0.137690185,1,1,1,0,fresh_investor_reset
NO_RESERVE,UPRO,LAG1,0,30,120,1986-09-30,1996-08-30,53.06498778,96.45530646,0.1415395925,0.1644883309,1,1,1,0,fresh_investor_reset
NO_RESERVE,UPRO,LAG1,25,20,240,1986-09-30,2006-08-31,2.058159501,9.240025723,0.03674977888,0.1175757595,1,1,1,0,fresh_investor_reset
NO_RESERVE,UPRO,LAG1,25,30,120,1986-09-30,1996-08-30,32.00477284,57.66869242,0.1224617114,0.1446944516,1,1,1,0,fresh_investor_reset
NO_RESERVE,UPRO,LAG2,0,20,240,1986-09-30,2006-08-31,5.45052877,18.2772059,0.08848370485,0.1563549575,1,1,1,0,fresh_investor_reset
NO_RESERVE,UPRO,LAG2,0,30,120,1986-09-30,1996-08-30,66.57257759,154.150737,0.1502009958,0.1828338407,1,1,1,0,fresh_investor_reset
NO_RESERVE,UPRO,LAG2,25,20,240,1986-09-30,2006-08-31,3.73497066,12.77490603,0.06810601239,0.1358319929,1,1,1,0,fresh_investor_reset
NO_RESERVE,UPRO,LAG2,25,30,120,1986-09-30,1996-08-30,40.15152574,91.63542169,0.1309783617,0.162505766,1,1,1,0,fresh_investor_reset
