series,family,sma_days,spread_bps,lag,switch_cost_bps,horizon_years,cohort_count,min,max,p1,p10,p25,p50,p75,p90,p99
UPRO_SMA_TO_TBILL,SP500,200,50,LAG2,0,10,360,-0.03909505795,0.3350205425,-0.008939646989,0.08513978325,0.1298096398,0.1791106645,0.2251648044,0.2582518088,0.3212241816
UPRO_SMA_TO_TBILL,SP500,200,50,LAG2,0,20,240,0.08904249142,0.2090374548,0.09274374808,0.1164026244,0.1376880371,0.1548000142,0.1718236013,0.1850880667,0.2029128018
UPRO_SMA_TO_TBILL,SP500,200,50,LAG2,0,30,120,0.1449582338,0.2015968173,0.1455992488,0.1543237543,0.1650852896,0.1726271897,0.180626406,0.1890815506,0.2008933775
UPRO_ALWAYS,SP500,200,50,LAG2,25,10,360,-0.2785576574,0.429581348,-0.2598957054,-0.108860821,0.03755882139,0.121493287,0.2794240386,0.3601711101,0.4136327859
UPRO_ALWAYS,SP500,200,50,LAG2,25,20,240,-0.03187310567,0.1679665647,-0.007914600847,0.01446234653,0.03579700061,0.06090215039,0.1200170426,0.1438923827,0.165579154
UPRO_ALWAYS,SP500,200,50,LAG2,25,30,120,0.07745327156,0.1515133044,0.08064268311,0.09438712549,0.1132775896,0.1244216884,0.1333279875,0.1395283408,0.1466842844
UPRO_SMA_TO_SP500,SP500,200,50,LAG2,25,10,360,-0.1009572807,0.3607678459,-0.08619667578,0.03157671136,0.1099177371,0.1781833461,0.2408282311,0.2830045025,0.3380705178
UPRO_SMA_TO_SP500,SP500,200,50,LAG2,25,20,240,0.06810601239,0.1947822142,0.07102660203,0.09364906381,0.1105982352,0.1358319929,0.1627841946,0.174312374,0.1907724094
UPRO_SMA_TO_SP500,SP500,200,50,LAG2,25,30,120,0.1309783617,0.1910002445,0.1321694568,0.1407859525,0.1534923489,0.162505766,0.1710479357,0.1782173925,0.1903897994
UPRO_SMA_TO_TBILL,SP500,200,50,LAG2,25,10,360,-0.06096773236,0.3167694461,-0.03077127736,0.06337947482,0.1089146612,0.1591768315,0.2069197967,0.2403433521,0.3041358765
UPRO_SMA_TO_TBILL,SP500,200,50,LAG2,25,20,240,0.06798865585,0.1889298047,0.07176652063,0.095913662,0.1172128924,0.1340055863,0.1512538976,0.1653555652,0.1822769106
UPRO_SMA_TO_TBILL,SP500,200,50,LAG2,25,30,120,0.125635371,0.1814166607,0.1263470007,0.1349941962,0.14507942,0.1530856088,0.1601448941,0.168681845,0.1803900914
TQQQ_ALWAYS,NASDAQ100,200,50,LAG2,0,10,360,-0.4938753496,0.8098001055,-0.4729720434,-0.2541709192,-0.1253922156,0.1670271837,0.3865803264,0.5124104559,0.7538884146
TQQQ_ALWAYS,NASDAQ100,200,50,LAG2,0,20,240,-0.1653034601,0.3040407844,-0.1267546987,-0.07954189462,-0.04115969693,-0.01655356655,0.1698324314,0.2396710077,0.2970537846
TQQQ_ALWAYS,NASDAQ100,200,50,LAG2,0,30,120,0.03963849675,0.1476747007,0.0400911113,0.0568052359,0.08579725994,0.09865412026,0.1129726744,0.1272399907,0.1462962314
TQQQ_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG2,0,10,360,-0.1638353786,0.6594868837,-0.1225365581,0.05438014206,0.1367526508,0.2267194919,0.3611885892,0.4172182018,0.5808151349
TQQQ_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG2,0,20,240,0.01878479027,0.3420377067,0.06100458711,0.1233680996,0.1485078141,0.1764709318,0.2301103261,0.2724183218,0.328907614
TQQQ_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG2,0,30,120,0.1478066266,0.2763521093,0.1483063329,0.158655906,0.2060454085,0.232638624,0.2514712307,0.2635152024,0.2758336678
TQQQ_SMA_TO_TBILL,NASDAQ100,200,50,LAG2,0,10,360,-0.06499556884,0.5710128294,-0.0144279172,0.07283998085,0.1386969886,0.2214061996,0.3208338496,0.3631373355,0.4899974631
TQQQ_SMA_TO_TBILL,NASDAQ100,200,50,LAG2,0,20,240,0.03810033294,0.3065892638,0.08046020346,0.1377855466,0.1702484803,0.1940144953,0.2145085738,0.2477540667,0.29227279
TQQQ_SMA_TO_TBILL,NASDAQ100,200,50,LAG2,0,30,120,0.1359150338,0.2792533918,0.1364095631,0.1433652299,0.200670041,0.2307289595,0.2491614307,0.2652200379,0.2779123264
TQQQ_ALWAYS,NASDAQ100,200,50,LAG2,25,10,360,-0.4938753496,0.8098001055,-0.4729720434,-0.2541709192,-0.1253922156,0.1670271837,0.3865803264,0.5124104559,0.7538884146
TQQQ_ALWAYS,NASDAQ100,200,50,LAG2,25,20,240,-0.1653034601,0.3040407844,-0.1267546987,-0.07954189462,-0.04115969693,-0.01655356655,0.1698324314,0.2396710077,0.2970537846
TQQQ_ALWAYS,NASDAQ100,200,50,LAG2,25,30,120,0.03963849675,0.1476747007,0.0400911113,0.0568052359,0.08579725994,0.09865412026,0.1129726744,0.1272399907,0.1462962314
TQQQ_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG2,25,10,360,-0.1828686416,0.6368000006,-0.1423830997,0.0287749619,0.1117086134,0.2033174741,0.3405603006,0.397428948,0.5580531712
TQQQ_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG2,25,20,240,-0.002787336565,0.3212083216,0.03872544643,0.1009473618,0.1257025333,0.1532015354,0.206099811,0.2501617427,0.3082792158
TQQQ_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG2,25,30,120,0.1256147323,0.2543930754,0.1261047773,0.1361459997,0.1829988682,0.2097521216,0.2290001207,0.2403476416,0.2532921341
TQQQ_SMA_TO_TBILL,NASDAQ100,200,50,LAG2,25,10,360,-0.08627868083,0.549535477,-0.03671925382,0.04680208136,0.1172297892,0.1971827028,0.3022749947,0.3436135646,0.4711611379
TQQQ_SMA_TO_TBILL,NASDAQ100,200,50,LAG2,25,20,240,0.01611921165,0.2863100639,0.05765655181,0.1149886772,0.1469807104,0.1702352848,0.191324158,0.2241358422,0.2722749912
TQQQ_SMA_TO_TBILL,NASDAQ100,200,50,LAG2,25,30,120,0.1139530537,0.2572444427,0.1144380216,0.1212522528,0.1781443556,0.2078691531,0.2271067731,0.2429913528,0.2559272051
