series,lag,switch_cost_bps,period,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,switch_count,switches_per_year
AO,LAG1,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2261589223,-0.5732269284,3.89759408,6.672142368,0.4000371475,0.6400911524,1112,2021-11-18,2022-11-03,2024-12-04,True,762,1112,2022,-0.4861326781,2020,0.5896988054,-0.5605749141,0.09438804092,,58,8.692860074
UPRO_ALWAYS,LAG1,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3066344008,-0.806563222,32.35367669,12.99931554,0.4910974009,0.7033660365,2348,1987-08-25,1987-12-04,1994-01-28,True,2247,2348,1987,-0.3732854515,1995,1.22788602,-0.7399986631,-0.0810500447,0.148489041,0,0
UPRO_ALWAYS,LAG1,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.2266489994,-0.9820109229,0.07649159444,10.00136893,0.6668695337,-0.09213035536,3570,2000-03-23,2009-03-09,,False,,,2008,-0.8597747321,2003,0.8731653747,-0.9227273643,-0.3916285461,-0.2266489994,0,0
UPRO_ALWAYS,LAG1,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.3281877639,-0.5173312905,17.07756772,9.998631075,0.4432450125,0.8520622248,424,2011-04-29,2011-10-03,2012-04-02,True,182,339,2018,-0.2436814515,2013,1.18798752,-0.3770481292,0.13484204,0.3281877639,0,0
UPRO_ALWAYS,LAG1,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2586669375,-0.7668301233,4.641082026,6.672142368,0.6087706406,0.6415167419,891,2020-02-19,2020-03-23,2021-01-07,True,290,323,2022,-0.5631810077,2021,0.9825793327,-0.5871593323,0.1639153848,,0,0
UPRO_ALWAYS,LAG1,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3066344008,-0.806563222,32.35367669,12.99931554,0.4910974009,0.7033660365,2348,1987-08-25,1987-12-04,1994-01-28,True,2247,2348,1987,-0.3732854515,1995,1.22788602,-0.7399986631,-0.0810500447,0.148489041,0,0
UPRO_ALWAYS,LAG1,25,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.2266489994,-0.9820109229,0.07649159444,10.00136893,0.6668695337,-0.09213035536,3570,2000-03-23,2009-03-09,,False,,,2008,-0.8597747321,2003,0.8731653747,-0.9227273643,-0.3916285461,-0.2266489994,0,0
UPRO_ALWAYS,LAG1,25,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.3281877639,-0.5173312905,17.07756772,9.998631075,0.4432450125,0.8520622248,424,2011-04-29,2011-10-03,2012-04-02,True,182,339,2018,-0.2436814515,2013,1.18798752,-0.3770481292,0.13484204,0.3281877639,0,0
UPRO_ALWAYS,LAG1,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2586669375,-0.7668301233,4.641082026,6.672142368,0.6087706406,0.6415167419,891,2020-02-19,2020-03-23,2021-01-07,True,290,323,2022,-0.5631810077,2021,0.9825793327,-0.5871593323,0.1639153848,,0,0
SP500_1X,LAG1,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.1797352651,-0.3306415614,8.573342392,12.99931554,0.1636973099,0.7574336346,631,1987-08-25,1987-10-19,1989-05-17,True,576,631,1990,-0.03104820291,1995,0.3757620118,-0.2084043343,0.0764684367,0.1291453964,0,0
SP500_1X,LAG1,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.009491800267,-0.5525024107,0.9090234381,10.00136893,0.2222697112,-0.05632058135,2243,2007-10-09,2009-03-09,,False,,,2008,-0.3699761113,2003,0.2868423796,-0.4751914483,-0.08198823669,-0.009491800267,0,0
SP500_1X,LAG1,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.1356189194,-0.1936348981,3.566568612,9.998631075,0.1477353441,0.8972367424,280,2018-09-20,2018-12-24,2019-04-12,True,109,204,2018,-0.04384233325,2013,0.3238848467,-0.1060500338,0.07285874511,0.1356189194,0,0
SP500_1X,LAG1,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.1553736354,-0.3379046365,2.621157615,6.672142368,0.2029250113,0.6718826412,709,2020-02-19,2020-03-23,2020-08-10,True,140,173,2022,-0.1811088889,2021,0.2870536926,-0.1966703289,0.1142978984,,0,0
SP500_1X,LAG1,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.1797352651,-0.3306415614,8.573342392,12.99931554,0.1636973099,0.7574336346,631,1987-08-25,1987-10-19,1989-05-17,True,576,631,1990,-0.03104820291,1995,0.3757620118,-0.2084043343,0.0764684367,0.1291453964,0,0
SP500_1X,LAG1,25,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.009491800267,-0.5525024107,0.9090234381,10.00136893,0.2222697112,-0.05632058135,2243,2007-10-09,2009-03-09,,False,,,2008,-0.3699761113,2003,0.2868423796,-0.4751914483,-0.08198823669,-0.009491800267,0,0
SP500_1X,LAG1,25,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.1356189194,-0.1936348981,3.566568612,9.998631075,0.1477353441,0.8972367424,280,2018-09-20,2018-12-24,2019-04-12,True,109,204,2018,-0.04384233325,2013,0.3238848467,-0.1060500338,0.07285874511,0.1356189194,0,0
SP500_1X,LAG1,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.1553736354,-0.3379046365,2.621157615,6.672142368,0.2029250113,0.6718826412,709,2020-02-19,2020-03-23,2020-08-10,True,140,173,2022,-0.1811088889,2021,0.2870536926,-0.1966703289,0.1142978984,,0,0
UPRO_SMA_TO_SP500,LAG2,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3183132197,-0.5500099096,36.32116283,12.99931554,0.3853428272,0.7687502466,808,1987-08-25,1987-10-19,1989-08-07,True,658,713,1990,-0.3112031201,1995,1.22788602,-0.5102923902,0.01737230452,0.1863616922,66,5.077190396
UPRO_SMA_TO_SP500,LAG2,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.02390510523,-0.6928293381,0.7850657456,10.00136893,0.3650868361,0.04153607868,2581,1999-12-31,2002-10-09,2007-01-24,True,1568,2581,2000,-0.4619522097,2003,0.9700532744,-0.541049496,-0.1342924877,-0.02390510523,92,9.198740761
UPRO_SMA_TO_SP500,LAG2,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.2520580344,-0.4014779323,9.46478937,9.998631075,0.3506369373,0.8027193142,658,2010-04-23,2010-08-26,2011-02-01,True,159,284,2015,-0.2337774522,2013,1.18798752,-0.3497409559,0.1072495056,0.2520580344,60,6.000821468
UPRO_SMA_TO_SP500,LAG2,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2716065105,-0.5254328661,4.968855378,6.672142368,0.4070499532,0.7263353563,896,2022-01-03,2023-03-13,2024-06-17,True,462,896,2022,-0.4440315373,2021,0.9825793327,-0.4592956965,0.1425726043,,40,5.995075913
UPRO_SMA_TO_SP500,LAG2,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3016649644,-0.5511348848,30.79012356,12.99931554,0.3854283026,0.7357818405,812,1987-08-25,1987-10-19,1989-08-28,True,679,734,1990,-0.3332562892,1995,1.22788602,-0.5163708017,0.002212960245,0.1704358129,66,5.077190396
