variant,horizon_years,paths,block_days,cell,family,regime,underlying,moneyness,premium_budget,maturity_months,roll_months,mean_cagr,median_max_drawdown,worst_max_drawdown,prob_negative_cagr,prob_below_index,prob_below_canonical,cagr_p5,cagr_p10,cagr_p50,cagr_p90,cagr_p95,terminal_wealth_p5,terminal_wealth_p50,terminal_wealth_p95,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,min_exposure_after_loss,underexposed_recovery,delta_p5,delta_p50,delta_p95,mean_option_weight,recovery_exposure_ratio
NDX_80_20_15M_R6,30,5000,63,NDX_80_20,NDX,15m/6m,NASDAQ100_1X,0.8,0.2,15,6,0.1285998768,-0.3870188899,-0.8184381566,0.0002,0.7762,0.3014,0.06854161465,0.08246930586,0.1278172858,0.1760302183,0.191115883,7.307732542,36.91763857,189.9874243,0.1166,0.0216,0.0008,0.6675708225,0.2440764323,0.06340057637,0.4486633391,0.6798727154,0.8418522813,0.210434272,0.9639406808
NDX_80_20_15M_R12,30,5000,63,NDX_80_20,NDX,15m/12m,NASDAQ100_1X,0.8,0.2,15,12,0.1344389368,-0.4006793301,-0.8479569687,0,0.7274,0.1232,0.0719104623,0.08574196281,0.1337850676,0.1843738087,0.1993938168,8.031502283,43.25104908,233.8634011,0.1418,0.0244,0.0006,0.6873037791,0.1773056984,0.1431919881,0.3847925591,0.7120116216,0.885162583,0.2217100169,0.9670822939
NDX_80_20_24M_R12,30,5000,63,NDX_80_20,NDX,24m/12m,NASDAQ100_1X,0.8,0.2,24,12,0.1253393146,-0.3610821496,-0.7899795795,0,0.8026,0,0.07018388692,0.0819854688,0.1247857387,0.1694011514,0.1825871802,7.65231184,34.05367195,153.1421411,0.068,0.0102,0.0002,0.5954839766,0.253436583,0.1481840194,0.349467447,0.6049135334,0.7965516115,0.2198606871,0.9555275842
NDX_80_25_15M_R6,30,5000,63,NDX_80_25,NDX,15m/6m,NASDAQ100_1X,0.8,0.25,15,6,0.1424729261,-0.4433161448,-0.8673013237,0.0002,0.6426,0.308,0.07070097901,0.08694915013,0.1411774575,0.1992889083,0.2168718245,7.764022793,52.56226074,360.9623406,0.2736,0.0686,0.0034,0.8296526197,0.2366907799,0.05723564035,0.5755100334,0.8470284473,1.023621309,0.2608742028,0.954525153
NDX_80_25_15M_R12,30,5000,63,NDX_80_25,NDX,15m/12m,NASDAQ100_1X,0.8,0.25,15,12,0.1489583072,-0.4594053724,-0.8963198154,0,0.5396,0.1398,0.07429407823,0.09064905673,0.1476143736,0.2087999475,0.2266979593,8.584958801,62.22447675,459.4632321,0.33,0.0878,0.004,0.8492653814,0.1397397884,0.1314837153,0.500398567,0.8835036598,1.063393109,0.2725925371,0.9667183175
NDX_80_25_24M_R12,30,5000,63,NDX_80_25,NDX,24m/12m,NASDAQ100_1X,0.8,0.25,24,12,0.1387085885,-0.407897365,-0.8393211562,0,0.6928,0,0.07410993091,0.08747040454,0.1377635797,0.1912517808,0.2067562856,8.540916409,48.04382813,280.9951668,0.1604,0.0282,0.001,0.7366634526,0.2606722273,0.1403729311,0.4508746814,0.7521354976,0.9554870153,0.2710100661,0.9496776531
NDX_80_30_15M_R6,30,5000,63,NDX_80_30,NDX,15m/6m,NASDAQ100_1X,0.8,0.3,15,6,0.1548594007,-0.5039714782,-0.9069040569,0.0006,0.4126,0.3198,0.07223126333,0.08968142779,0.1533586566,0.2213731726,0.2430008638,8.103931049,72.27968023,682.7665847,0.5148,0.1798,0.017,0.9904871644,0.2426229159,0.04942965779,0.7089946003,1.012333456,1.20040425,0.3106219369,0.9525938948
NDX_80_30_15M_R12,30,5000,63,NDX_80_30,NDX,15m/12m,NASDAQ100_1X,0.8,0.3,15,12,0.1618152469,-0.5208992469,-0.9315821886,0.0004,0.2922,0.1614,0.07510296729,0.09359919471,0.1596502683,0.2321860885,0.2534485568,8.781024065,85.0940442,877.6680455,0.5826,0.2186,0.02,1.008840112,0.1183435621,0.1134226845,0.6252470293,1.050158027,1.238406746,0.3221826222,0.9664839317
NDX_80_30_24M_R12,30,5000,63,NDX_80_30,NDX,24m/12m,NASDAQ100_1X,0.8,0.3,24,12,0.1508451165,-0.4587722575,-0.8810110541,0.0002,0.5022,0,0.07600750699,0.09114991517,0.149422447,0.2117900338,0.2299756323,9.005391977,65.23385364,497.7580604,0.328,0.0878,0.0044,0.8759798171,0.2628331073,0.1245229966,0.5588542054,0.8972053479,1.106695881,0.3211894045,0.9473663925
NDX_80_35_15M_R6,30,5000,63,NDX_80_35,NDX,15m/6m,NASDAQ100_1X,0.8,0.35,15,6,0.165742545,-0.5638919939,-0.9358810998,0.0012,0.2292,0.3414,0.07083238983,0.09082098034,0.1632833576,0.2431257293,0.268213771,7.792661251,93.46636874,1247.140082,0.7546,0.3618,0.0522,1.150435059,0.2601421351,0.0412,0.8491645078,1.175687319,1.375229624,0.3598994858,0.9498661909
NDX_80_35_15M_R12,30,5000,63,NDX_80_35,NDX,15m/12m,NASDAQ100_1X,0.8,0.35,15,12,0.1730336102,-0.5803435418,-0.9559425784,0.0008,0.1522,0.187,0.07435374193,0.09402450163,0.1700337283,0.2543126441,0.2787510413,8.599271531,111.1846428,1598.550116,0.8056,0.4226,0.0686,1.166772452,0.1165972206,0.0964,0.7605081354,1.208806828,1.41427272,0.3705787433,0.9655763326
