iv_premium,moneyness,premium_budget,safe_asset,mean_implied_vol,mean_delta_exposure,total_exposure,cagr,max_drawdown,cohort_10y_min_cagr
0.03,0.95,0.2,TBILL_3M_1X,0.2024913094,1.036289009,1.836289009,0.1042792504,-0.3801050128,-0.01208119948
0.03,0.95,0.2,LONG_TREASURY_1X,0.2024913094,1.030422294,1.830422294,0.1263813059,-0.4690813327,0.03657593162
0.03,0.95,0.25,TBILL_3M_1X,0.2024913094,1.279361758,2.029361758,0.1191823003,-0.4700231501,-0.02343807539
0.03,0.95,0.25,LONG_TREASURY_1X,0.2024913094,1.272749045,2.022749045,0.1404105451,-0.4931272201,0.02314030571
0.03,0.95,0.3,TBILL_3M_1X,0.2024913094,1.517877548,2.217877548,0.13287771,-0.5496294773,-0.03633489746
0.03,0.95,0.3,LONG_TREASURY_1X,0.2024913094,1.510735069,2.210735069,0.1532351321,-0.5261787551,0.008409984011
0.03,0.95,0.4,TBILL_3M_1X,0.2024913094,1.984058911,2.584058911,0.1566478855,-0.6811565237,-0.06696387393
0.03,0.95,0.4,LONG_TREASURY_1X,0.2024913094,1.976455312,2.576455312,0.1752411821,-0.5988695057,-0.02450774701
0.03,0.95,0.5,TBILL_3M_1X,0.2024913094,2.440011303,2.940011303,0.1754389539,-0.7884754205,-0.1021957581
0.03,0.95,0.5,LONG_TREASURY_1X,0.2024913094,2.432702719,2.932702719,0.1922001236,-0.7285385375,-0.06251472697
0.03,0.95,0.6,TBILL_3M_1X,0.2024913094,2.890674248,3.290674248,0.1888194355,-0.8780880901,-0.142783812
0.03,0.95,0.6,LONG_TREASURY_1X,0.2024913094,2.884383902,3.284383902,0.2036414875,-0.8242174389,-0.1064824367
0.03,1,0.15,TBILL_3M_1X,0.2024913094,0.873443254,1.723443254,0.09117471165,-0.3376121491,-0.006581099727
