series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,start,end,sessions,reserve_cagr,no_reserve_total_return,no_reserve_cagr,cumulative_log_growth_foregone,transferred_to_reserve,fraction_positive_portfolio_gains_transferred,new_hwm_gains_recognized,next_named_stress,next_stress_3y_post_drawdown_relative_growth_benefit,next_stress_3y_carried_opportunity_cost,next_stress_3y_payback_ratio
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2026-04-09,2026-09-02,101,0.694976160052,0.236660163796,0.701311708964,0.00149132701432,1.61635997535,0.0185305281003,19.5531509605,,,,
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,1987-01-09,1987-10-19,196,-0.336010972364,-0.327959664379,-0.401271123182,-0.0801595120507,0.221628466041,0.114473959163,0.455735784531,1987,0.0966502949944,0.0345991255192,2.79343172823
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,1988-06-02,1990-01-23,415,0.243241386185,0.428301388908,0.242357507841,-0.00116829491432,0,0,0,2000_2002,3.5527136788e-15,0.596781633681,5.95312167516e-15
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,1990-05-07,1990-08-07,64,-0.17135794049,-0.0462422330322,-0.17135794049,6.66133814775e-16,0,0,0,2000_2002,3.5527136788e-15,0.596781633681,5.95312167516e-15
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,1991-01-21,1991-11-25,215,0.311550632406,0.256965043802,0.311550632406,-8.32667268469e-17,0,0,0,2000_2002,3.5527136788e-15,0.596781633681,5.95312167516e-15
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,1991-12-03,1992-10-06,213,0.178260689884,0.136053856419,0.163312204883,-0.0107667811458,0.343537739274,0.194638673415,0.142802717194,2000_2002,3.5527136788e-15,0.596781633681,5.95312167516e-15
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,1992-10-14,1994-03-30,369,0.121479295974,0.188524510979,0.125894251313,0.00572272678194,0.306103711544,0.10913073732,0.462359389045,2000_2002,3.5527136788e-15,0.596781633681,5.95312167516e-15
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,1994-12-15,1996-07-24,405,0.413819506238,0.794100140095,0.43863773623,0.0279666529583,0.217457115164,0.0393452043696,1.4072291007,2000_2002,3.5527136788e-15,0.596781633681,5.95312167516e-15
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,1996-07-26,1998-08-28,528,0.464729966039,1.29972996825,0.489826195469,0.0354887726932,1.12797644645,0.0474718349863,5.47915068245,2000_2002,3.5527136788e-15,0.596781633681,5.95312167516e-15
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,1998-10-29,1999-09-24,227,0.33039489672,0.295739702519,0.332099635007,0.00115697176654,1.75954176177,0.088767171049,2.41046971232,2000_2002,3.5527136788e-15,0.596781633681,5.95312167516e-15
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,1999-10-29,2000-02-22,78,-0.131714253148,-0.0420644199855,-0.126559164059,0.00187998863264,0,0,0,2000_2002,3.5527136788e-15,0.596781633681,5.95312167516e-15
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,2000-05-31,2000-09-26,82,-0.0569332744569,-0.0187593939391,-0.0569332744569,-1.52655665886e-15,0,0,0,2000_2002,3.5527136788e-15,0.596781633681,5.95312167516e-15
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,2003-04-15,2004-07-22,319,0.375053336771,0.498704456676,0.375053336771,-3.33066907388e-16,0,0,0,2007_2009,0.0362446288434,-0.00084943143232,
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,2004-10-28,2005-04-18,117,0.0531414950549,0.0246822922424,0.0531414950549,4.4408920985e-16,0,0,0,2007_2009,0.0362446288434,-0.00084943143232,
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,2005-05-02,2005-10-11,113,0.0654411486794,0.0285139683442,0.0654411486794,-4.89192020225e-16,0,0,0,2007_2009,0.0362446288434,-0.00084943143232,
