series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,horizon_years,cohorts,min_terminal_multiple,median_terminal_multiple,min_cagr,median_cagr,cohort_kind
UPRO_SMA_TO_TBILL,UPRO,LAG2,50,none,0,0,none,30,120,20.87749024,42.73157971,0.106591345,0.1333216926,inherited_policy_state
NO_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,20,240,2.926379788,9.141498648,0.05515566372,0.1169939336,inherited_policy_state
NO_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,30,120,30.78323265,48.0302168,0.1210067057,0.1377595208,inherited_policy_state
FIXED_90_10,SSO,LAG1,0,staged,0.15,0.1,quarterly,20,240,2.872624522,8.215705703,0.05417798698,0.1110465162,inherited_policy_state
FIXED_90_10,SSO,LAG1,0,staged,0.15,0.1,quarterly,30,120,25.96212628,38.36827376,0.114660276,0.1292545126,inherited_policy_state
FIXED_85_15,SSO,LAG1,0,staged,0.15,0.1,quarterly,20,240,2.832155369,7.742872491,0.05343041604,0.1077583049,inherited_policy_state
FIXED_85_15,SSO,LAG1,0,staged,0.15,0.1,quarterly,30,120,23.69075644,34.0093066,0.1112639016,0.1247247814,inherited_policy_state
HWM_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,20,240,2.900643905,8.995254088,0.05468973901,0.1160934278,inherited_policy_state
HWM_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,30,120,30.34410428,46.85936486,0.1204699748,0.1368239137,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,0,staged,0.2,0.1,rule,20,240,2.893691536,8.633647813,0.05456319894,0.1138063851,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,0,staged,0.2,0.1,rule,30,120,28.9963714,43.23916909,0.1187745136,0.1337616954,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG1,0,drawdown,0.15,0.1,rule,20,240,3.273028019,9.009140998,0.06107843008,0.11617974,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG1,0,drawdown,0.15,0.1,rule,30,120,29.59491377,44.97790209,0.1195366915,0.1352655298,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG1,0,drawdown,0.2,0.1,rule,20,240,3.184452255,9.245037842,0.05962387992,0.1176146918,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG1,0,drawdown,0.2,0.1,rule,30,120,29.87638214,44.3810381,0.1198899732,0.1347524733,inherited_policy_state
SP500_1X,SSO,LAG1,0,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,SSO,LAG1,0,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
SSO_ALWAYS,SSO,LAG1,0,none,0,0,none,20,240,1.584424368,5.642300758,0.02327785523,0.09036078653,inherited_policy_state
SSO_ALWAYS,SSO,LAG1,0,none,0,0,none,30,120,17.944103,37.4211359,0.1010207013,0.128313937,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG1,0,none,0,0,none,20,240,2.803423964,7.534586225,0.05289348661,0.1062491457,inherited_policy_state
