frontier,basis,variant,cell,family,regime,maturity_months,roll_months,moneyness,premium_budget,cagr_p50,cagr_p5,median_max_drawdown,prob_drawdown_worse_than_60,mean_delta_exposure,option_turnover_per_year,theta_burden_per_year,vega_per_nav,mean_entry_years,cagr_per_volatility_point,on_growth_frontier,on_robust_frontier,on_frontier
SPX fixed budget,fixed,SPX_90_30_24M_R12,SPX_90_30,SPX,24m/12m,24,12,0.9,0.3,0.1384741495,0.07088343112,-0.4582607022,0.0728,1.295113242,0.3005554413,-0.03893256697,0.5564747813,2.004928131,0.007174864914,False,False,False
SPX fixed budget,fixed,SPX_90_30_30M_R12,SPX_90_30,SPX,30m/12m,30,12,0.9,0.3,0.1339375531,0.07059624586,-0.4275260948,0.0418,1.190162662,0.3005554413,-0.03351225563,0.6517870971,2.490759754,0.006574786055,False,False,False
SPX fixed budget,fixed,SPX_90_30_30M_R18,SPX_90_30,SPX,30m/18m,30,18,0.9,0.3,0.1363856289,0.07117348286,-0.442223821,0.0556,1.216837957,0.2028749229,-0.02975969903,0.5212526579,2.489010571,0.006823519312,False,False,False
SPX fixed budget,fixed,SPX_90_35_15M_R6,SPX_90_35,SPX,15m/6m,15,6,0.9,0.35,0.1478320267,0.06061059562,-0.5655380893,0.3716,1.751721071,0.7012960296,-0.06716472166,0.6188706762,1.24705681,0.01109924683,False,False,False
SPX fixed budget,fixed,SPX_90_35_15M_R12,SPX_90_35,SPX,15m/12m,15,12,0.9,0.35,0.1559692964,0.06111098882,-0.5921543452,0.4696,1.799060612,0.3506480148,-0.06325583572,0.4333819314,1.248596851,0.009922643573,False,False,False
SPX fixed budget,fixed,SPX_90_35_18M_R6,SPX_90_35,SPX,18m/6m,18,6,0.9,0.35,0.1444445517,0.06246545474,-0.5378741949,0.27,1.636737019,0.71006223,-0.06055845199,0.7010145468,1.495880549,0.009763876492,False,False,False
SPX fixed budget,fixed,SPX_90_35_18M_R12,SPX_90_35,SPX,18m/12m,18,12,0.9,0.35,0.1522047522,0.06534497941,-0.5547925973,0.331,1.678762353,0.3594142152,-0.05962760525,0.5495098578,1.491594464,0.009843561561,False,False,False
SPX fixed budget,fixed,SPX_90_35_24M_R6,SPX_90_35,SPX,24m/6m,24,6,0.9,0.35,0.1395620443,0.06591959792,-0.4963330694,0.1574,1.468047856,0.6925298293,-0.04764633656,0.7971591964,2.000433204,0.008158088564,False,False,False
SPX fixed budget,fixed,SPX_90_35_24M_R12,SPX_90_35,SPX,24m/12m,24,12,0.9,0.35,0.147501694,0.06998727156,-0.5087868521,0.1682,1.499728756,0.3506480148,-0.04538296419,0.6487831213,2.004928131,0.008169916567,False,False,False
SPX fixed budget,fixed,SPX_90_35_30M_R12,SPX_90_35,SPX,30m/12m,30,12,0.9,0.35,0.1430073511,0.07121236214,-0.4746894112,0.1024,1.377779374,0.3506480148,-0.03918106289,0.761160341,2.490759754,0.007499903442,False,False,False
SPX fixed budget,fixed,SPX_90_35_30M_R18,SPX_90_35,SPX,30m/18m,30,18,0.9,0.35,0.1455816311,0.07172815459,-0.4896353695,0.1184,1.405215016,0.23668741,-0.03459748853,0.6056762694,2.489010571,0.007750758414,False,False,False
SPX fixed budget,fixed,SPX_90_40_15M_R6,SPX_90_40,SPX,15m/6m,15,6,0.9,0.4,0.1549078267,0.05593317081,-0.6235773897,0.5962,1.994366886,0.8014811767,-0.07697181399,0.7090112407,1.24705681,0.01242143228,False,False,False
SPX fixed budget,fixed,SPX_90_40_15M_R12,SPX_90_40,SPX,15m/12m,15,12,0.9,0.4,0.1631999312,0.05680694772,-0.6500794362,0.6898,2.041681342,0.4007405884,-0.07305424884,0.4982413127,1.248596851,0.01107177368,False,False,False
SPX fixed budget,fixed,SPX_90_40_18M_R6,SPX_90_40,SPX,18m/6m,18,6,0.9,0.4,0.1517254908,0.05874020612,-0.5934568477,0.4756,1.863757469,0.8114996914,-0.06933929401,0.8023194417,1.495880549,0.01096655633,False,False,False
SPX fixed budget,fixed,SPX_90_40_18M_R12,SPX_90_40,SPX,18m/12m,18,12,0.9,0.4,0.1600308326,0.06178208052,-0.6099616104,0.5424,1.905219706,0.4107591031,-0.06871983474,0.631806541,1.491594464,0.01099159709,False,False,False
SPX fixed budget,fixed,SPX_90_40_24M_R6,SPX_90_40,SPX,24m/6m,24,6,0.9,0.4,0.1466145145,0.0640851855,-0.5471594352,0.3032,1.671964863,0.791462662,-0.05449579686,0.9114655225,2.000433204,0.009147533745,False,False,False
SPX fixed budget,fixed,SPX_90_40_24M_R12,SPX_90_40,SPX,24m/12m,24,12,0.9,0.4,0.1555490678,0.06842772174,-0.5585721487,0.3336,1.702853064,0.4007405884,-0.05186815533,0.7414746482,2.004928131,0.009110836087,False,False,False
SPX fixed budget,fixed,SPX_90_40_30M_R12,SPX_90_40,SPX,30m/12m,30,12,0.9,0.4,0.1504505676,0.07080201757,-0.5214412084,0.2016,1.564284977,0.4007405884,-0.04490801053,0.8712541818,2.490759754,0.008379231496,False,False,False
SPX fixed budget,fixed,SPX_90_40_30M_R18,SPX_90_40,SPX,30m/18m,30,18,0.9,0.4,0.1536330407,0.07113179621,-0.536402087,0.244,1.591533992,0.2704998971,-0.03944628584,0.6899656554,2.489010571,0.008628861105,False,False,False
SPX fixed budget,fixed,SPX_90_45_15M_R6,SPX_90_45,SPX,15m/6m,15,6,0.9,0.45,0.1603934287,0.05014784833,-0.677975411,0.784,2.236290951,0.9016663238,-0.08689791063,0.8000852729,1.24705681,0.0136642712,False,False,False
SPX fixed budget,fixed,SPX_90_45_15M_R12,SPX_90_45,SPX,15m/12m,15,12,0.9,0.45,0.1686959189,0.05024076199,-0.7052199748,0.8512,2.283317252,0.4508331619,-0.08319491209,0.56449801,1.248596851,0.012154848,False,False,False
SPX fixed budget,fixed,SPX_90_45_18M_R6,SPX_90_45,SPX,18m/6m,18,6,0.9,0.45,0.1579759269,0.05356338997,-0.6458264792,0.6756,2.090147683,0.9129371528,-0.07819541632,0.9043341474,1.495880549,0.01211151551,False,False,False
SPX fixed budget,fixed,SPX_90_45_18M_R12,SPX_90_45,SPX,18m/12m,18,12,0.9,0.45,0.1661472594,0.05703565239,-0.662954463,0.7502,2.130420964,0.4621039909,-0.07806185535,0.7157440875,1.491594464,0.01207563462,False,False,False
