series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,reserve_accumulation_trades,reserve_deployment_trades,reserve_rebalance_sell_trades,leverage_state_trades,traded_transition_days,total_charged_transitions,reserve_turnover,risky_sleeve_turnover,net_asset_turnover,sum_dollar_costs,direct_log_cost_drag,direct_wealth_cost_drag,total_trading_cost_drag,cost_cagr_drag
HWM_RESERVE,UPRO,LAG2,10,staged,0.15,0.1,rule,599,105,0,261,899,899,1.326213707,258.9541563,259.8730071,17.11360176,0.2600015913,0.2289496411,0.2295851865,0.007752683959
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,10,staged,0.2,0.1,rule,29,114,0,261,332,332,5.1060553,255.2614941,259.2075994,16.58875835,0.2593328184,0.2284338111,0.2284270364,0.007699086618
HWM_DRAWDOWN,UPRO,LAG2,10,drawdown,0.15,0.1,rule,631,11,0,261,902,902,1.096582925,239.7725835,240.8685301,15.22902085,0.2409790426,0.2141419043,0.211426961,0.00704071432
BAND_DRAWDOWN,UPRO,LAG2,10,drawdown,0.2,0.1,rule,11,11,0,261,283,283,1.183245238,236.4512379,237.6344832,15.54568451,0.2377419699,0.2115939026,0.2112765778,0.007039932426
SP500_1X,UPRO,LAG2,10,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_ALWAYS,UPRO,LAG2,10,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_TBILL,UPRO,LAG2,10,none,0,0,none,0,0,0,261,261,261,0,261,261,13.24571392,0.2611305871,0.2298196625,0.2298196625,0.007667161231
NO_RESERVE,UPRO,LAG2,25,staged,0.15,0.1,rule,0,0,0,261,261,261,0,261,261,31.03524817,0.6533169869,0.4796829736,0.4796829736,0.01932218594
FIXED_90_10,UPRO,LAG2,25,staged,0.15,0.1,quarterly,104,0,56,261,417,417,2.0592071,232.4530976,234.4493698,23.6056417,0.5867716222,0.4438802455,0.4438802455,0.01722422179
FIXED_85_15,UPRO,LAG2,25,staged,0.15,0.1,quarterly,104,0,56,261,417,417,2.914910818,218.4356488,221.262372,20.19151164,0.5537285527,0.425197372,0.425197372,0.01618502501
