series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,period,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,switch_count,switches_per_year,terminal_ratio_vs_no_reserve
FIXED_85_15,SSO,LAG1,0,staged,0.15,0.1,quarterly,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.231395725499,-0.386510289262,14.9660595302,12.9993155373,0.229892167207,0.781749706435,672,1987-08-25,1987-10-19,1989-06-27,True,617,672,1990,-0.13746197712,1995,0.628456209299,-0.320357336778,0.0614112058408,0.155330937955,0,0,0.755840846608
FIXED_85_15,SSO,LAG1,0,staged,0.15,0.1,quarterly,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0113574086021,-0.558665862251,0.892044195242,10.0013689254,0.242988299522,-0.0392042614652,2581,2007-07-19,2009-03-09,,False,,,2008,-0.324011675455,2009,0.431827438498,-0.425621373476,-0.0972624329138,-0.0113574086021,0,0,1.11768592041
FIXED_85_15,SSO,LAG1,0,staged,0.15,0.1,quarterly,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.167768088206,-0.275987567815,4.71491452777,9.99863107461,0.210582938683,0.816157381784,496,2010-04-23,2010-08-26,2011-01-27,True,154,279,2011,-0.07504101963,2013,0.582687517529,-0.14568384756,0.103088539388,0.167768088206,0,0,0.801035251369
FIXED_85_15,SSO,LAG1,0,staged,0.15,0.1,quarterly,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.20293248536,-0.393284350946,3.43068675106,6.67214236824,0.252337624637,0.745855931102,756,2020-02-19,2020-03-23,2020-08-27,True,157,190,2022,-0.26295467622,2021,0.501822037158,-0.277750014553,0.142890805764,,0,0,0.872463396718
FIXED_85_15,SSO,LAG1,0,staged,0.15,0.1,quarterly,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.181716843057,-0.393284350946,16.1753948028,16.6707734428,0.228169424609,0.781893057603,756,2020-02-19,2020-03-23,2020-08-27,True,157,190,2022,-0.26295467622,2013,0.582687517529,-0.277750014553,0.045293294551,0.109817706571,0,0,0.698873936301
HWM_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.256797442586,-0.440440380087,19.5155504123,12.9993155373,0.26541822455,0.787585480575,694,1987-08-25,1987-10-19,1989-07-19,True,639,694,1990,-0.175212840894,1995,0.736800594006,-0.374035011925,0.0571012594446,0.169407246124,0,0,0.985606806914
HWM_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0221726603362,-0.625277913212,0.799113426499,10.0013689254,0.288481266113,-0.0292180740632,2612,2007-07-13,2009-03-09,,False,,,2008,-0.374750108286,2009,0.511633846046,-0.48658438802,-0.121290609455,-0.0221726603362,0,0,1.00124840268
HWM_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.191903233107,-0.320152589446,5.78502992756,9.99863107461,0.245240641052,0.816858664436,546,2010-04-23,2010-08-26,2011-02-01,True,159,284,2018,-0.092222880784,2013,0.693309559972,-0.169940874141,0.115616989584,0.191903233107,0,0,0.982841337823
HWM_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.227152872557,-0.45136859836,3.91872304994,6.67214236824,0.29342832822,0.748195466211,760,2020-02-19,2020-03-23,2020-08-28,True,158,191,2022,-0.301118954619,2021,0.582523985373,-0.317063170073,0.157566161799,,0,0,0.996576683049
HWM_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.205888007974,-0.45136859836,22.6699301217,16.6707734428,0.265526967167,0.783393052639,760,2020-02-19,2020-03-23,2020-08-28,True,158,191,2022,-0.301118954619,2013,0.693309559972,-0.317063170073,0.0440437055607,0.121062765303,0,0,0.979476760411
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,0,staged,0.2,0.1,rule,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.251217489733,-0.410205904137,18.4187376732,12.9993155373,0.25150900242,0.798841307894,652,1987-08-25,1987-10-19,1989-06-07,True,597,652,1990,-0.165132759071,1995,0.69361785986,-0.349421169053,0.0677479019145,0.167908537859,0,0,0.930213744521
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,0,staged,0.2,0.1,rule,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.018375731796,-0.617787167293,0.830695467149,10.0013689254,0.285560302224,-0.018930425101,2598,2007-07-13,2009-03-09,,False,,,2008,-0.373826165853,2009,0.511121024664,-0.48479013661,-0.118219604541,-0.018375731796,0,0,1.04081909028
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,0,staged,0.2,0.1,rule,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.184743650302,-0.320152589446,5.44682110073,9.99863107461,0.239707774793,0.804899088704,496,2010-04-23,2010-08-26,2011-02-01,True,159,284,2018,-0.0934554843385,2013,0.637521792129,-0.16355882096,0.110061591539,0.184743650302,0,0,0.925381718774
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,0,staged,0.2,0.1,rule,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.218929603152,-0.433143501433,3.74680959306,6.67214236824,0.280986662389,0.744436072842,760,2020-02-19,2020-03-23,2020-08-26,True,156,189,2022,-0.299320820439,2021,0.550308494637,-0.3152255668,0.152130417715,,0,0,0.952857098775
