signal,lag,signal_close,execution_close,first_affected_return,into,upro_return,sp500_return,other_signal_state,signals_disagree,audit_period
total_return,1,2018-11-06,2018-11-06,2018-11-07,UPRO,0.06348538995,0.02122132184,0,True,2018
total_return,1,2018-11-12,2018-11-12,2018-11-13,risk_off,-0.004566210046,-0.001447260656,0,False,2018
total_return,1,2018-11-28,2018-11-28,2018-11-29,UPRO,-0.006428112278,-0.001952543769,0,True,2018
total_return,1,2018-11-29,2018-11-29,2018-11-30,risk_off,0.02480051758,0.008359253429,0,False,2018
total_return,1,2018-11-30,2018-11-30,2018-12-03,UPRO,0.03282828283,0.01094190365,0,True,2018
total_return,1,2018-12-04,2018-12-04,2018-12-06,risk_off,-0.004287971113,-0.001208971845,0,False,2018
total_return,1,2019-02-04,2019-02-04,2019-02-05,UPRO,0.01383533681,0.004718216406,0,True,
total_return,1,2019-02-07,2019-02-07,2019-02-08,risk_off,0.002780352178,0.00100751172,0,False,
total_return,1,2019-02-12,2019-02-12,2019-02-13,UPRO,0.009103019538,0.003106655068,1,False,
total_return,1,2019-05-31,2019-05-31,2019-06-03,risk_off,-0.008493518105,-0.002757649977,0,False,
total_return,1,2019-06-04,2019-06-04,2019-06-05,UPRO,0.02457106545,0.008284864698,1,False,
total_return,1,2020-02-27,2020-02-27,2020-02-28,risk_off,-0.02422988352,-0.008075005245,0,False,2020
total_return,1,2020-03-02,2020-03-02,2020-03-03,UPRO,-0.08446572912,-0.02807766205,1,False,2020
total_return,1,2020-03-03,2020-03-03,2020-03-04,risk_off,0.1266359054,0.04225741539,0,False,2020
total_return,1,2020-03-04,2020-03-04,2020-03-05,UPRO,-0.1014706097,-0.0337140057,1,False,2020
total_return,1,2020-03-05,2020-03-05,2020-03-06,risk_off,-0.05121286999,-0.01702199827,0,False,2020
total_return,1,2020-05-26,2020-05-26,2020-05-27,UPRO,0.04440551656,0.01484665348,0,True,2020
total_return,2,2010-05-20,2010-05-21,2010-05-24,risk_off,-0.03870373215,-0.01289002446,0,False,2010
total_return,2,2010-05-27,2010-05-28,2010-06-01,UPRO,-0.05160146253,-0.01712173094,0,True,2010
total_return,2,2010-05-28,2010-06-01,2010-06-02,risk_off,0.0779547554,0.02600352448,0,False,2010
total_return,2,2010-06-02,2010-06-03,2010-06-04,UPRO,-0.1031163392,-0.03437513696,0,True,2010
total_return,2,2010-06-04,2010-06-07,2010-06-08,risk_off,0.03319400049,0.01112341927,0,False,2010
total_return,2,2010-06-15,2010-06-16,2010-06-17,UPRO,0.004253825428,0.001418847924,1,False,2010
total_return,2,2010-06-22,2010-06-23,2010-06-24,risk_off,-0.05028915707,-0.01680016466,0,False,2010
total_return,2,2010-07-26,2010-07-27,2010-07-28,UPRO,-0.02040687911,-0.006861080618,1,False,2010
