variant,cell,family,regime,moneyness,premium_budget,maturity_months,roll_months,cagr,p5,drawdown,tail,resolution,improves,worsens,mixed,unresolved,matched_cagr,matched_p5,matched_drawdown,matched_tail,matched_resolution,matched_improves,matched_worsens,matched_mixed,matched_unresolved,matched_inside_grid
NDX_85_20_15M_R6,NDX_85_20,NDX,15m/6m,0.85,0.2,15,6,0.003573700955,-0.002315539901,-0.03162022537,0.0208,0.004432703599,False,True,False,False,0.003573700955,-0.002315539901,-0.03162022537,0.0208,0.004432703599,False,True,False,False,False
NDX_85_20_15M_R12,NDX_85_20,NDX,15m/12m,0.85,0.2,15,12,0.01009508125,0.0005792752374,-0.04963655746,0.0322,0.00401839955,False,False,True,False,0.01009508125,0.0005792752374,-0.04963655746,0.0322,0.00401839955,False,False,True,False,False
NDX_85_25_15M_R6,NDX_85_25,NDX,15m/6m,0.85,0.25,15,6,0.004123695397,-0.004132908158,-0.04330632999,0.065,0.00544022421,False,True,False,False,-0.003782204769,-0.005179416808,-0.008129956579,0.02165691095,0.00544022421,False,True,False,False,True
NDX_85_25_15M_R12,NDX_85_25,NDX,15m/12m,0.85,0.25,15,12,0.01078707075,-0.0009217258342,-0.06365163032,0.0992,0.004905668508,False,False,True,False,0.0002578148826,-0.00253633979,-0.01554333964,0.02513085008,0.004905668508,False,True,False,False,True
NDX_85_30_15M_R6,NDX_85_30,NDX,15m/6m,0.85,0.3,15,6,0.004050078444,-0.005303688497,-0.05362834554,0.1368,0.006406210572,False,True,False,False,-0.004186319301,-0.00558898142,-0.007706532355,0.03188388682,0.006406210572,False,True,False,False,True
NDX_85_30_15M_R12,NDX_85_30,NDX,15m/12m,0.85,0.3,15,12,0.01117476424,-0.003686217417,-0.07469218912,0.2038,0.005751097252,False,False,True,False,0.0003113547362,-0.002613043591,-0.01579252777,0.04117694904,0.005751097252,False,True,False,False,True
NDX_85_35_15M_R6,NDX_85_35,NDX,15m/6m,0.85,0.35,15,6,0.004076403707,-0.00782961248,-0.06134347761,0.224,0.007328733616,False,True,False,False,-0.004830721351,-0.005877878279,-0.007150595505,0.02463424096,0.007328733616,False,True,False,False,True
NDX_85_35_15M_R12,NDX_85_35,NDX,15m/12m,0.85,0.35,15,12,0.0111351049,-0.006472296191,-0.08133715584,0.2996,0.006554963315,False,False,True,False,0.0001803914226,-0.00388476734,-0.01583658162,0.0497162569,0.006554963315,False,True,False,False,True
NDX_85_40_15M_R6,NDX_85_40,NDX,15m/6m,0.85,0.4,15,6,0.002969296477,-0.01045378407,-0.0671256024,0.2526,0.008205207839,False,True,False,False,-0.005411301294,-0.006237971754,-0.005601531836,0.02538046573,0.008205207839,False,True,False,False,True
NDX_85_40_15M_R12,NDX_85_40,NDX,15m/12m,0.85,0.4,15,12,0.01004016141,-0.009089038474,-0.08633008811,0.3104,0.007316541553,False,False,True,False,-0.0003288607307,-0.004386852642,-0.01371917437,0.05451664981,0.007316541553,False,True,False,False,True
NDX_90_20_15M_R6,NDX_90_20,NDX,15m/6m,0.9,0.2,15,6,0.004226331075,-0.003602032581,-0.03803083234,0.034,0.006007451009,False,True,False,False,0.004226331075,-0.003602032581,-0.03803083234,0.034,0.006007451009,False,True,False,False,False
NDX_90_20_15M_R12,NDX_90_20,NDX,15m/12m,0.9,0.2,15,12,0.01104705834,-0.0004036523799,-0.06085482629,0.0554,0.005864039444,False,False,True,False,0.01104705834,-0.0004036523799,-0.06085482629,0.0554,0.005864039444,False,False,True,False,False
NDX_90_25_15M_R6,NDX_90_25,NDX,15m/6m,0.9,0.25,15,6,0.00442882585,-0.005038917472,-0.05190762014,0.101,0.00735068265,False,True,False,False,-0.004680854158,-0.006109692035,-0.007338465062,0.02689067456,0.00735068265,False,True,False,False,True
NDX_90_25_15M_R12,NDX_90_25,NDX,15m/12m,0.9,0.25,15,12,0.01140807673,-0.004535677416,-0.07710635741,0.1584,0.007139135854,False,False,True,False,-0.0009965030487,-0.003614223612,-0.01501469151,0.02705080053,0.007139135854,False,True,False,False,True
NDX_90_30_15M_R6,NDX_90_30,NDX,15m/6m,0.9,0.3,15,6,0.00411377651,-0.006791314942,-0.06241375867,0.1944,0.008629947693,False,True,False,False,-0.005150309941,-0.005747243304,-0.006750017016,0.0305558484,0.008629947693,False,True,False,False,True
NDX_90_30_15M_R12,NDX_90_30,NDX,15m/12m,0.9,0.3,15,12,0.01146117475,-0.006603838683,-0.08892680205,0.2972,0.008348880622,False,False,True,False,-0.001109893175,-0.004946289741,-0.01516513142,0.04216774969,0.008348880622,False,True,False,False,True
NDX_90_35_15M_R6,NDX_90_35,NDX,15m/6m,0.9,0.35,15,6,0.003467785943,-0.01097077789,-0.07117698939,0.2766,0.009843066415,False,True,False,False,-0.006094931191,-0.007358483067,-0.006410274729,0.02428797447,0.009843066415,False,True,False,False,True
NDX_90_35_15M_R12,NDX_90_35,NDX,15m/12m,0.9,0.35,15,12,0.01056371637,-0.01084955419,-0.09591531158,0.3582,0.009494679861,False,False,True,False,-0.00171164053,-0.006750171133,-0.01528059396,0.06442739615,0.009494679861,False,True,False,False,True
